EmployeeID,FirstName,LastName,Gender,Age,BusinessTravel,Department,State,Ethnicity,Education,EducationField,JobRole,MaritalStatus,Salary,OverTime,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,StockOptions,StillEmployed,YearsAtCompany_Calculated,PerformanceID,ReviewDate,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,Illinois,White,Doctorate,Marketing,Sales Executive,Divorced,102059,No,10,4,9,7,Yes,Yes,13.3,PR1295,10/30/2016,Neutral,Neutral,Slightly Satisfied,3,0,Slightly Balanced,Good,Good
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,Illinois,White,Doctorate,Marketing,Sales Executive,Divorced,102059,No,10,4,9,7,Yes,Yes,13.3,PR1908,10/30/2017,Satisfied,Satisfied,Very Satisfied,3,1,Slightly Unbalanced,Good,Fair
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,Illinois,White,Doctorate,Marketing,Sales Executive,Divorced,102059,No,10,4,9,7,Yes,Yes,13.3,PR2617,10/30/2018,Very Satisfied,Very Satisfied,Satisfied,3,0,Slightly Balanced,Excellent,Excellent
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,Illinois,White,Doctorate,Marketing,Sales Executive,Divorced,102059,No,10,4,9,7,Yes,Yes,13.3,PR3436,10/30/2019,Dissatisfied,Neutral,Slightly Satisfied,3,1,Neutral,Excellent,Very Good
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,Illinois,White,Doctorate,Marketing,Sales Executive,Divorced,102059,No,10,4,9,7,Yes,Yes,13.3,PR411,10/31/2014,Neutral,Satisfied,Slightly Satisfied,1,0,Neutral,Very Good,Good
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,Illinois,White,Doctorate,Marketing,Sales Executive,Divorced,102059,No,10,4,9,7,Yes,Yes,13.3,PR4378,10/29/2020,Neutral,Slightly Satisfied,Very Satisfied,1,0,Neutral,Excellent,Very Good
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,Illinois,White,Doctorate,Marketing,Sales Executive,Divorced,102059,No,10,4,9,7,Yes,Yes,13.3,PR5415,10/29/2021,Satisfied,Very Satisfied,Satisfied,1,0,Slightly Balanced,Good,Good
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,Illinois,White,Doctorate,Marketing,Sales Executive,Divorced,102059,No,10,4,9,7,Yes,Yes,13.3,PR6529,10/29/2022,Satisfied,Slightly Satisfied,Satisfied,1,0,Slightly Unbalanced,Excellent,Very Good
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,Illinois,White,Doctorate,Marketing,Sales Executive,Divorced,102059,No,10,4,9,7,Yes,Yes,13.3,PR791,10/31/2015,Very Satisfied,Very Satisfied,Slightly Satisfied,2,1,Very Balanced,Very Good,Very Good
CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,California,White,Master's Degree,Marketing,Sales Executive,Single,157718,Yes,10,6,10,0,No,Yes,13.3,PR1213,7/30/2016,Neutral,Neutral,Slightly Satisfied,2,0,Very Balanced,Very Good,Very Good
